# Naval bases and naval harbours. Source: OpenStreetMap (ODbL), via tools/poi/fetch_osm.py.
# GENERATED by tools/poi/build_poi.py -- do not hand-edit; edit the generator or refetch.
# Codes are derived from the site name, not from UN/LOCODE: OSM carries no code for these.
# Sites without a Latin-script name are dropped rather than given an invented label.
# Columns: code,lat,lon,type,flags   (type 1 = port, flags 1 = military -> warship glyph)
code,lat,lon,type,flags
FACILI,-33.83918,151.25544,1,1
FAIRWE,55.33459,-131.62997,1,1
FALLBR,33.36371,-117.28153,1,1
FALLON,39.39104,-118.70205,1,1
FALLON,39.42294,-118.70030,1,1
FEBRER,18.46953,-69.87288,1,1
FELIPE,31.01647,-114.84846,1,1
FENTRE,36.69358,-76.13071,1,1
FERROL,43.48133,-8.23916,1,1
FIELD,-36.21701,175.47763,1,1
FIELD,27.69220,-97.27414,1,1
FIELD,27.89601,-98.04157,1,1
FIELD,28.60714,-97.60649,1,1
FIELD,30.23219,-81.67917,1,1
FIELD,30.35176,-87.30373,1,1
FIELD,30.71234,-87.01838,1,1
FIELD,32.55119,-88.56923,1,1
FIELD,32.57884,-116.97521,1,1
FIELD,32.76638,-97.42958,1,1
FIELD,36.33295,-119.95229,1,1
FIELD,36.94036,-76.29518,1,1
FIELD,39.41308,-118.69259,1,1
FIELD,40.03339,-74.35368,1,1
FINBAC,26.08906,-80.11255,1,1
FINBAC,27.46440,-80.30644,1,1
FINBAC,38.94866,-74.88927,1,1
FINEGA,13.58159,144.84518,1,1
FIREFI,36.92161,-76.32285,1,1
FLADEH,55.33165,11.12808,1,1
FLADES,55.33503,11.12548,1,1
FLORAK,34.72417,33.28228,1,1
FORCES,36.78421,3.06917,1,1
FORMAT,5.34389,-4.03898,1,1
FORT,8.23573,79.76631,1,1
FOSTER,32.85101,-79.94170,1,1
FRANCE,50.17762,-5.05329,1,1
FRANCI,14.52751,121.03162,1,1
FREDER,57.43192,10.53932,1,1
FREDRI,58.99480,10.03971,1,1
FRITCH,38.94914,-74.89064,1,1
FUEL,-33.83792,151.25482,1,1
FUEL,1.45782,103.80796,1,1
FUEL,37.21640,-76.48642,1,1
FUERZA,12.36484,-83.63204,1,1
FUERZA,13.17894,-87.69629,1,1
FUERZA,13.33944,-87.84280,1,1
