# Heliports carrying a real ICAO code. Source: OpenStreetMap (ODbL), via fetch_osm.py.
# GENERATED by tools/poi/build_poi.py -- do not hand-edit; edit the generator or refetch.
# Unnamed rooftop and hospital pads are deliberately excluded: a pictogram with no usable
# identifier beside it tells the wearer nothing.
# Columns: code,lat,lon,type,flags   (type 0 = airfield, flags 2 = helipad, +1 = military)
code,lat,lon,type,flags
ENQL,60.49767,2.07367,0,2
ENQM,60.50558,2.01485,0,2
ENQO,60.38959,2.79471,0,2
ENQR,61.51667,2.21667,0,2
ENQS,61.29610,1.90083,0,2
ENQV,61.36972,2.45722,0,2
ENQW,61.03994,2.33638,0,2
ENQW,61.04000,2.36694,0,2
ENRH,59.95060,10.71372,0,2
ENRT,63.36813,10.37396,0,2
ENRX,60.14909,10.25524,0,2
ENSC,59.48360,6.27234,0,2
ENSE,61.44890,2.14250,0,2
ENSF,61.25518,1.85211,0,2
ENSJ,66.01786,12.61600,0,2
ENSL,58.36670,1.90699,0,2
ENSX,58.95209,5.73091,0,2
ENTE,59.19074,9.59326,0,2
ENTH,59.27327,10.41626,0,2
ENTR,63.41991,10.38564,0,2
ENTU,69.68392,18.98471,0,2
ENTX,59.80389,10.84068,0,2
ENUA,65.06414,6.72569,0,2
ENUB,65.11010,6.78943,0,2
ENUC,65.13110,6.86403,0,2
ENUD,64.27067,7.20011,0,2
ENUE,64.27111,7.20139,0,2
ENUG,71.30000,22.25000,0,2
ENUH,59.93621,10.73652,0,2
ENUK,64.99396,6.55134,0,2
ENUN,67.04080,7.05500,0,2
ENUR,65.34333,7.36722,0,2
ENUS,65.69972,7.65083,0,2
ENVF,60.78142,2.89719,0,2
ENVR,67.65455,12.72704,0,2
ENWA,59.56695,1.99679,0,2
ENWE,58.84189,2.24558,0,2
ENWG,58.84472,1.74222,0,2
ENWI,58.92222,2.19778,0,2
ENWK,58.57124,1.69475,0,2
ENWR,58.58333,1.73278,0,2
ENWV,56.27810,3.39278,0,2
ENWY,57.48880,4.32120,0,2
ENXA,56.52054,3.22123,0,2
ENXB,56.41897,3.21669,0,2
ENXD,56.56250,3.08417,0,2
ENXH,56.17580,3.45861,0,2
ENXI,56.32389,3.35111,0,2
ENXJ,56.22705,3.43593,0,2
ENXK,56.56559,3.20445,0,2
ENXL,56.37639,3.26407,0,2
ENXM,56.33258,3.24678,0,2
ENXO,59.26527,2.44777,0,2
ENXR,56.98229,2.95685,0,2
ENXT,56.64142,3.32545,0,2
ENXW,59.16466,2.48574,0,2
ENXZ,58.41730,1.71630,0,2
EPAA,52.11940,20.86983,0,2
EPBT,49.32807,20.09549,0,2
EPCY,50.06118,21.92311,0,2
EPDJ,52.36187,21.26635,0,2
EPFR,52.14852,20.98712,0,2
EPFW,49.67080,20.68490,0,2
EPGN,51.02802,20.40257,0,2
EPHK,50.05515,19.97529,0,2
EPKH,54.05117,16.27992,0,2
EPMA,49.88061,19.46716,0,2
EPMP,49.72214,19.69613,0,2
EPMW,49.88621,19.50795,0,2
EPND,50.42370,21.79708,0,2
EPNG,49.74129,20.72276,0,2
EPPY,50.00657,18.96215,0,2
EPRY,49.74369,19.10131,0,2
EPTY,50.06649,21.92995,0,2
ESEB,57.72418,12.96434,0,2
ESED,62.40794,17.30226,0,2
ESEG,67.13658,20.63367,0,2
ESEM,55.71177,13.19880,0,2
ESEQ,67.85040,20.23663,0,2
ESES,65.67240,21.93590,0,2
ESEY,64.58538,18.68107,0,2
ESHB,57.71953,12.05061,0,2
ESHC,59.30846,18.05473,0,2
