# Sea ports, keyed by UN/LOCODE. Source: marchah/sea-ports (MIT).
# Columns: code,lat,lon,type,flags
# flags is a bitfield: 1 = military, 2 = helipad (rotorcraft only). It picks the pictogram
# on the dial -- see render/SiteGlyph.kt -- and nothing else; ranking is by type alone.
# No record carries flag 1 yet. The source has no navy field, and a LOCODE names a place
# rather than a facility -- USSAN is San Diego the commercial port, which also happens to
# host a fleet, and JPYOK is Yokohama, not the naval base at Yokosuka (JPYOS). Flagging
# these from memory is how you ship a warship glyph on a container terminal, so they stay
# civil until someone checks each one. The warship silhouette is wired up and tested.
code,lat,lon,type,flags
DKASN,55.27023,9.90082,1,0
DKCPH,55.67000,12.58000,1,0
DKEBJ,55.47647,8.45941,1,0
DKFRC,55.56893,9.74952,1,0
DKHIR,57.58695,9.96684,1,0
DKHLS,56.03079,12.59213,1,0
DKHSB,56.36153,8.62173,1,0
DKKAL,55.68643,11.08919,1,0
DKKTD,55.45588,10.65498,1,0
DKNBG,55.32417,10.79956,1,0
DKODE,55.40376,10.40237,1,0
DKRUG,55.88000,12.52000,1,0
DKSKA,57.72500,10.57919,1,0
DKSVE,55.06743,10.60728,1,0
DMRSU,15.30917,-61.37936,1,0
DOCAU,18.42000,-69.63000,1,0
DOHAI,18.51327,-70.07311,1,0
DOMAN,19.70000,-71.75000,1,0
DOPOP,19.78077,-70.68711,1,0
DOSDQ,18.47000,-69.90000,1,0
DOSPM,18.45000,-69.30000,1,0
DZAAE,7.67407,36.91787,1,0
DZALG,36.75000,3.05000,1,0
DZBJA,36.75089,5.05673,1,0
DZGHA,32.48000,3.67000,1,0
DZMOS,36.01312,0.14014,1,0
DZORN,35.69765,-0.63374,1,0
DZSKI,36.87152,6.91018,1,0
ECBHA,-0.55000,-80.50000,1,0
ECCHA,-2.42000,-80.67000,1,0
ECESM,0.98000,-79.70000,1,0
ECGYE,-2.17000,-79.90000,1,0
ECLLD,-2.23000,-80.90000,1,0
ECMEC,-0.95000,-80.73000,1,0
ECMTV,-2.03000,-80.72000,1,0
ECPBO,-3.27000,-79.98000,1,0
EEHLD,58.80940,22.46590,1,0
EEMUG,59.50000,24.97000,1,0
EETLL,59.43000,24.73000,1,0
EGAIS,29.63256,32.33002,1,0
EGALY,31.30911,30.06259,1,0
EGDAM,31.42000,31.82000,1,0
EGEDK,30.70515,30.77163,1,0
EGPSD,31.26529,32.30187,1,0
EGSOK,29.65000,32.35000,1,0
EGSUZ,29.97000,32.52000,1,0
ERASA,13.00000,42.73000,1,0
ERMSW,15.60000,39.45000,1,0
ESACE,28.97000,-13.53000,1,0
ESAGP,36.72000,-4.42000,1,0
ESALC,38.34600,-0.49069,1,0
ESALG,36.14076,-5.45623,1,0
ESAVS,43.55795,-5.92467,1,0
ESBCN,41.38506,2.17340,1,0
ESBIO,43.25000,-2.97000,1,0
ESBRM,43.43000,-2.72000,1,0
ESCAD,36.52706,-6.28860,1,0
ESCAR,37.62568,-0.99658,1,0
ESCAS,39.98000,-0.03000,1,0
ESCEU,35.88939,-5.32135,1,0
ESFER,38.35000,-2.00000,1,0
ESFUE,28.50082,-13.86284,1,0
ESGIJ,43.53000,-5.67000,1,0
ESHUV,37.26142,-6.94472,1,0
ESIBZ,38.90000,1.43000,1,0
ESLCG,43.37000,-8.38000,1,0
ESLEI,36.83000,-2.45000,1,0
ESLPA,28.10000,-15.42000,1,0
ESMAD,40.41678,-3.70379,1,0
ESMAH,39.88000,4.25000,1,0
ESMLN,35.32000,-2.88000,1,0
ESMOT,36.74897,-3.51804,1,0
ESMPG,42.39148,-8.70208,1,0
